student_id,name,class,attendance,quiz_1,quiz_2,assignment_1,assignment_2,lab_score,prior_gpa,support_needed,average_score,performance_consistency,low_performance_indicator
STU1001,Student_1,CS101,82.45071229516849,69.17009838248435,73.3758194714396,72.3782123514121,64.51621248110713,67.12498821974421,4.638288663183913,No,58.53393659489521,26.606044632353242,0
STU1002,Student_2,CS201,72.92603548243223,71.93515268875325,61.43751348865903,54.32124947530734,60.933212789220015,65.16939861921576,6.209422483830747,No,53.334324924164356,23.795776829821104,0
STU1003,Student_3,CS201,84.71532807151038,41.52871302311754,64.0416566887141,60.84086377352188,65.29501750299262,53.6873499752139,6.879591699867533,Yes,48.71219877723794,22.286355840536494,0
STU1004,Student_4,CS201,97.84544784612038,76.75441005542088,67.0541040103175,78.24334074723508,80.1553672905115,56.51089799713285,10.0,No,61.45302001676964,26.717167446046098,0
STU1005,Student_5,IT101,71.48769937914996,43.06444850770613,58.6072123686747,55.97354878991835,47.22752886716332,34.52640664066694,8.334829686800637,Yes,41.288995810155015,18.361289743885628,1
STU1006,Student_6,CS102,71.4879456457623,44.81802300844736,56.42890541886491,53.950322301065526,62.289546694823926,38.24018133151853,5.4967776463501625,Yes,43.53729273351174,20.50879001000443,1
STU1007,Student_7,IT101,98.68819223261087,60.31239174192017,82.85064423280083,85.82307561438725,83.89686001614712,100.0,8.229054434126455,No,70.18533767323031,32.91785189513569,0
STU1008,Student_8,CS301,86.51152093729362,49.34629132198796,70.37860856496904,77.47370740511025,66.46603477527155,82.09388937793202,5.179044016592451,No,58.48959591031055,28.453985029269013,0
STU1009,Student_9,CS101,67.95788421097572,48.06513302372339,58.10095134833044,54.967101862988,62.24429565952102,29.20728787984658,9.12403658083061,Yes,43.61813439254001,20.507442605287142,1
STU1010,Student_10,CS101,83.13840065378947,47.83430090242856,57.90394054406828,78.79466930871142,78.4624487300236,36.207472566544894,6.793313022273182,Yes,50.99935751234165,27.41337562935909,0
STU1011,Student_11,CS201,68.04873460781306,50.39475093952371,60.001250870485606,46.66993773302044,46.902182958979466,54.19218937554788,7.359545716891244,Yes,44.253309599074726,18.75368082401994,1
STU1012,Student_12,CS201,68.01405369644614,47.09730296646007,52.35449528472915,53.09408647092937,52.62434523747797,55.05417705052025,9.488694971313285,Yes,44.95218366357168,17.57417252286333,1
STU1013,Student_13,CS201,78.62943407349051,52.222351396732606,75.28973435205614,57.267213918767936,60.78729619389394,63.67228892006163,5.569254647123625,No,52.468023238105985,24.241136323806522,0
STU1014,Student_14,CS102,46.30079633013303,26.107419390170467,31.534602767742392,28.3984238891229,35.00385067516287,30.04962617698968,5.404322722330513,Yes,26.0830409369198,10.56413887423558,1
STU1015,Student_15,CS301,49.12623251230451,30.138172384823488,45.37281052695244,38.89480695014509,45.83219503024345,33.15574372930084,6.624601010480992,Yes,33.33638827199105,14.530639775707561,1
STU1016,Student_16,CS301,66.5656870613854,54.138451335054825,51.24167202384388,52.442128994753816,55.29061699239089,50.961086102775326,9.057568276528976,Yes,45.52192062089128,17.94162971097692,1
STU1017,Student_17,CS301,59.80753319498364,46.359066435506,40.959679508739626,56.89759613177624,49.25440520051107,42.89268300150961,5.220980886784736,Yes,40.26406852747122,18.05580723002962,1
STU1018,Student_18,CS301,79.71370998892911,44.11091369994614,55.92804898734112,68.79940195916603,51.78312315318477,20.41786373394652,3.251766602834147,Yes,40.715186356069786,24.37077622830956,1
STU1019,Student_19,CS201,61.37963886718184,43.88029436229086,44.068448941482266,42.81728935276024,56.0728659594984,40.14474353972385,6.823261712386502,Yes,38.96781731135702,16.686567100858934,1
STU1020,Student_20,CS101,53.81544447997062,43.736245939096335,42.64425125386662,53.03023714040487,39.07400367351757,28.507047997414304,8.32761119986638,Yes,35.88656620069435,15.654406918537552,1
STU1021,Student_21,CS201,96.98473153382332,43.603288622070856,77.80925459471533,89.42994774248649,83.0182768093994,71.28787855857678,9.300392624608245,No,62.40817315864285,30.47968237114727,0
STU1022,Student_22,CS301,71.61335549270197,55.96612583751446,49.60155838670468,61.45928137115991,62.85774149514439,92.88623168313676,6.805257956871902,No,54.92936612175535,27.89843280582563,0
STU1023,Student_23,CS201,76.01292307031886,45.653850827225774,56.82456592794484,59.08876661800281,74.95374832681618,58.79571726271339,6.882860089325996,Yes,50.36658484200483,23.265446638718892,0
STU1024,Student_24,CS301,53.62877720679815,42.13022037563044,51.710316882970936,37.75766645846812,38.56541686697128,34.17730130726733,9.23085110138362,Yes,35.59529549878196,14.233701292205536,1
STU1025,Student_25,IT101,66.83425913212226,39.13220235448643,61.671601138335575,50.97979089343135,36.6284344748317,59.105565482791015,4.695387450456869,Yes,42.03549696572215,20.92325712269692,1
STU1026,Student_26,CS101,76.66383884564799,32.9093086168427,60.84290388387917,69.67783594896073,66.57372420588509,61.06562847150427,6.917218837225486,Yes,49.66443666071624,24.696009426371614,0
STU1027,Student_27,IT101,57.73509633866546,26.3196195200982,43.52073570132363,57.06875426409879,59.47010054020299,45.26540661258175,7.785635834887587,Yes,39.90504207886549,19.674405914511564,1
STU1028,Student_28,CS102,80.63547027518509,57.02643203570921,61.444480954156944,76.95239298528445,78.53045191540701,66.2315657867737,8.173828081927551,No,58.05985862654314,25.860740609365415,0
STU1029,Student_29,CS201,65.99041965121792,48.76417328807226,53.54144558681791,49.5663978719812,57.47540798331539,73.33572833067517,6.735289960213676,Yes,48.23640717017926,22.216519229448327,1
STU1030,Student_30,CS102,70.62459375310085,39.85716648634449,45.74501437374271,48.59242236398809,56.55874410167698,33.463508362176064,7.551661517558762,Yes,38.62808620091452,17.11943239855113,1
STU1031,Student_31,CS201,65.97440081655904,52.50169379666289,47.7827743283447,53.70900922557328,61.40318366394037,52.431599066618965,3.767508969880516,Yes,45.265961508503445,20.803139603806382,1
STU1032,Student_32,IT101,100.0,45.0771990659656,58.314159261224106,62.31560634437149,75.26453800295532,51.47237740036923,6.512627381499227,Yes,49.826084576064154,23.564669513535627,0
STU1033,Student_33,CS301,74.79754162893099,51.61688816672858,59.08424703492826,62.25524835863105,67.14094939296,60.66847519828808,8.180263068831701,No,51.49101187006128,21.810590049916954,0
STU1034,Student_34,CS301,59.13433606566149,30.652139405306045,48.17790226911747,46.43463075829457,53.253249882144544,30.52885186412127,6.02655894861798,Yes,35.84555552126698,17.387665622374154,1
STU1035,Student_35,CS201,87.33817368154783,52.59719529781412,61.28356794467334,65.80026125102731,83.49712733331914,53.84631052597247,7.5884763323843964,No,54.1021564475318,25.37059496154209,0
STU1036,Student_36,CS301,56.68734525043467,40.08417740210308,51.438022044849625,36.30992786573974,63.828023602827486,36.33556890563919,8.170308751204047,Yes,39.36100476206053,18.635096919848735,1
STU1037,Student_37,IT101,78.13295392507133,44.60907207361294,49.02244623677386,66.51927248630942,69.47907270461472,69.94175630192483,6.986176198713353,Yes,51.09296600032486,24.17864175888463,0
STU1038,Student_38,CS301,45.60494814180336,29.292818351425733,27.525437059139687,34.05457909665504,36.44307994488739,40.30067715658288,7.755695656494856,Yes,29.228714544197597,11.505826320123537,1
STU1039,Student_39,IT101,55.07720926652354,46.867616432041714,42.54412492800059,37.61819197473438,46.67477170210042,24.83191916067004,6.055901152073082,Yes,34.098754224936705,15.98240674373776,1
STU1040,Student_40,CS102,77.95291853803685,47.82148224009673,66.62712577201184,39.972212597246894,52.4695177671888,55.42349783257193,7.19008308045593,Yes,44.91731988159535,20.46931255097646,1
STU1041,Student_41,IT101,86.07699869993115,71.0439794165179,79.05249319578807,68.62475891531768,67.18556676678368,48.03819824300344,8.415324254383833,No,57.0600534652991,25.935263922805674,0
STU1042,Student_42,CS101,77.57052421784955,41.15457401325128,54.61830388078065,75.80386791423894,62.76012025741282,34.77478982212996,7.735459441452651,Yes,46.14118588821105,23.903917233084503,1
STU1043,Student_43,CS101,73.2652757641764,57.108130414319874,62.851941695419846,70.78348205830399,58.43573629960161,48.105730225949536,6.620203095654096,Yes,50.650870631541494,22.810812956485663,0
STU1044,Student_44,CS101,70.48344456616067,64.57941949068113,52.59116246708243,53.16498378667873,60.9847774989739,44.98982529236438,7.836324606436189,Yes,47.35774885703612,20.547235733148433,1
STU1045,Student_45,CS201,52.82217014448859,17.391875152780045,38.70477274746068,39.07672132404157,40.55464406296416,62.61240532797776,8.571914685954926,Yes,34.48538888352986,19.13397398828347,1
