Roll No,name,class,Attendance_Percent,quiz_1,quiz_2,assignment_1,assignment_2,lab_score,prior_gpa,At Risk
STU1001,Student_1,CS101,82%,69.17009838248435,73.3758194714396,72.3782123514121,64.51621248110713,67.12498821974421,4.638288663183913,No
STU1002,Student_2,CS201,72%,71.93515268875325,61.43751348865903,54.32124947530734,60.933212789220015,65.16939861921576,6.209422483830747,No
STU1003,Student_3,CS201,84%,41.52871302311754,64.0416566887141,60.84086377352188,65.29501750299262,53.6873499752139,6.879591699867533,Yes
STU1004,Student_4,CS201,97%,76.75441005542088,67.0541040103175,78.24334074723508,80.1553672905115,56.510897997132844,10.0,No
STU1005,Student_5,IT101,71%,43.06444850770613,58.6072123686747,55.97354878991835,47.22752886716332,34.52640664066694,8.334829686800637,Yes
STU1006,Student_6,CS102,71%,,56.42890541886491,53.950322301065526,62.289546694823926,38.24018133151853,5.4967776463501625,Yes
STU1007,Student_7,IT101,98%,,82.85064423280083,85.82307561438725,83.89686001614712,100.0,8.229054434126455,No
STU1008,Student_8,CS301,86%,,70.37860856496904,77.47370740511025,66.46603477527155,82.09388937793202,5.179044016592451,No
STU1009,Student_9,CS101,67%,,58.10095134833044,54.967101862987995,62.24429565952102,29.20728787984658,9.12403658083061,Yes
STU1010,Student_10,CS101,83%,,57.90394054406828,78.79466930871142,78.4624487300236,36.207472566544894,6.793313022273182,Yes
STU1011,Student_11,CS201,68%,,60.001250870485606,46.66993773302044,46.902182958979466,54.19218937554788,7.359545716891244,Yes
STU1012,Student_12,CS201,68%,,52.35449528472915,53.09408647092937,52.62434523747797,55.05417705052025,9.488694971313285,Yes
STU1013,Student_13,CS201,78%,,75.28973435205614,57.267213918767936,60.78729619389394,63.67228892006163,5.569254647123625,No
STU1014,Student_14,CS102,46%,,31.534602767742392,28.3984238891229,35.00385067516287,30.049626176989676,5.404322722330513,Yes
STU1015,Student_15,CS301,49%,,45.372810526952435,38.89480695014509,45.83219503024345,33.15574372930084,6.624601010480992,Yes
STU1016,Student_16,CS301,66%,,51.241672023843876,52.442128994753816,55.29061699239089,50.961086102775326,9.057568276528976,Yes
STU1017,Student_17,CS301,59%,,40.959679508739626,56.89759613177624,49.25440520051107,42.89268300150961,5.220980886784736,Yes
STU1018,Student_18,CS301,79%,,55.928048987341114,68.79940195916603,51.78312315318477,20.417863733946522,3.251766602834147,Yes
STU1019,Student_19,CS201,61%,,44.068448941482266,42.817289352760234,56.0728659594984,40.14474353972385,6.823261712386502,Yes
STU1020,Student_20,CS101,53%,,42.64425125386662,53.03023714040487,39.07400367351757,28.507047997414304,8.32761119986638,Yes
STU1021,Student_21,CS201,96%,,77.80925459471533,89.42994774248649,83.0182768093994,71.28787855857678,9.300392624608243,No
STU1022,Student_22,CS301,71%,,49.60155838670468,61.45928137115991,62.85774149514439,92.88623168313677,6.805257956871902,No
STU1023,Student_23,CS201,76%,,56.82456592794484,59.08876661800281,74.95374832681618,58.79571726271339,6.882860089325996,Yes
STU1024,Student_24,CS301,53%,,51.710316882970936,37.75766645846812,38.565416866971276,34.17730130726733,9.230851101383621,Yes
STU1025,Student_25,IT101,66%,,61.671601138335575,50.97979089343135,36.6284344748317,59.105565482791015,4.695387450456869,Yes
STU1026,Student_26,CS101,76%,,60.84290388387917,69.67783594896073,66.57372420588509,61.06562847150427,6.917218837225486,Yes
STU1027,Student_27,IT101,57%,,43.52073570132363,57.06875426409879,59.47010054020299,45.26540661258175,7.785635834887587,Yes
STU1028,Student_28,CS102,80%,,61.444480954156944,76.95239298528445,78.53045191540701,66.2315657867737,8.173828081927551,No
STU1029,Student_29,CS201,65%,,53.54144558681791,49.566397871981195,57.47540798331539,73.33572833067517,6.735289960213676,Yes
STU1030,Student_30,CS102,70%,,45.74501437374271,48.59242236398809,56.55874410167698,33.463508362176064,7.551661517558762,Yes
STU1031,Student_31,CS201,65%,,47.7827743283447,53.70900922557328,61.40318366394037,52.431599066618965,3.7675089698805158,Yes
STU1032,Student_32,IT101,100%,,58.314159261224106,62.31560634437149,75.26453800295532,51.47237740036923,6.512627381499227,Yes
STU1033,Student_33,CS301,74%,,59.08424703492826,62.25524835863105,67.14094939296,60.66847519828808,8.180263068831701,No
STU1034,Student_34,CS301,59%,,48.17790226911747,46.43463075829457,53.253249882144544,30.52885186412127,6.02655894861798,Yes
STU1035,Student_35,CS201,87%,,61.28356794467334,65.80026125102731,83.49712733331914,53.84631052597247,7.5884763323843964,No
