Roll No,name,class,Attendance_Percent,quiz_1,quiz_2,assignment_1,assignment_2,lab_score,prior_gpa,At Risk
STU1001,Student_1,CS201,82%,62.14047201325654,48.691864604305024,72.20199490030913,77.81932226466748,80.7910691067444,7.687836753971861,No
STU1002,Student_2,CS201,72%,57.18259367789188,50.32352219270312,51.61584227078117,58.223820544017165,64.53419859137227,6.855891688312121,Yes
STU1003,Student_3,CS201,84%,73.06338585763488,63.580918227826224,75.13915753867617,72.82231917608821,60.311050920219884,7.683446254548426,No
STU1004,Student_4,CS201,97%,83.95827355066163,73.84376960828907,91.54065761808891,78.64547740404838,55.83184974373869,8.314947043554582,No
STU1005,Student_5,CS102,71%,35.26842752234796,50.398360021758116,60.14571051077036,57.65843090347185,60.02426523402942,7.573290105488557,Yes
STU1006,Student_6,CS101,71%,,58.0685854452342,70.60718422024436,58.55454580312686,55.667454321119976,7.560887536805824,Yes
STU1007,Student_7,CS101,98%,,63.47999115782095,71.31416806322356,86.07716143335352,86.75073467951297,6.447012468289866,No
STU1008,Student_8,CS102,86%,,63.65189412302416,58.44151960731224,69.39306565602554,71.54800038010319,6.5056486236735775,No
STU1009,Student_9,CS102,67%,,51.78591681932813,42.278500896905086,66.29805451722424,61.835595327880306,5.39609209230046,Yes
STU1010,Student_10,CS102,83%,,66.63076268012657,78.94859365947262,63.23001852374797,49.29716056510498,10.0,No
STU1011,Student_11,CS102,68%,,55.879000154063995,58.89186317482091,56.5697865247149,65.56351405472076,5.6342051469130725,Yes
STU1012,Student_12,CS201,68%,,43.361393509980175,54.033189077956614,54.82115646103374,50.29774761230138,6.460642203306139,Yes
STU1013,Student_13,CS101,78%,,46.90942265021147,65.1049247233784,78.212524178826,87.6759214453199,6.422389101646203,No
STU1014,Student_14,CS201,46%,,40.64134267824523,31.829533149030667,40.2657411481108,26.02856847137835,8.842386565416662,Yes
STU1015,Student_15,CS101,49%,,38.477207926189,51.31604405165214,46.82636111170763,51.44463504406125,7.057575482561958,Yes
STU1016,Student_16,CS101,66%,,44.941913239830676,54.11271932521486,46.69209931194019,49.23079439857943,9.371613109010601,Yes
STU1017,Student_17,CS102,59%,34.93215778563213,54.13270722289051,48.500289836955965,52.43356497980658,34.07333246149233,6.4897640636341976,Yes
STU1018,Student_18,CS201,79%,52.967943531602074,60.707367916806476,69.55632300885374,74.84823061454443,48.08512998353893,7.918491243335703,No
STU1019,Student_19,CS102,61%,38.497031314270615,53.27321267787859,52.056128387323476,52.677749191732225,39.03318678921905,6.246979420110364,Yes
STU1020,Student_20,CS201,53%,38.331725116352935,40.72493706874773,44.25719741183109,51.47705780485779,42.23614692375674,10.0,Yes
